year;elevation
1947;2115
1948;
1949;
1950;
1951;2119
1952;
1953;
1954;
1955;
1956;
1957;
1958;2113
1959;
1960;2113
1961;
1962;
1963;
1964;
1965;
1966;
1967;
1968;2120
1969;2120
1970;2115
1971;2117
1972;2113
1973;2113
1974;2113
1975;2116
1976;2119
1977;2119
1978;2120
1979;2117
1980;2112
1981;2111
1982;2110
1983;2111
1984;
1985;2111
1986;2110
1987;
1988;
1989;2114
1990;2114
1991;2114
1992;2115
1993;2116
1994;2115
1995;2118
1996;2118
1997;2115
1998;2110
1999;2108
2000;2108
2001;2108
2002;2107
2003;2104
2004;2103
2005;2104
2006;2105
2007;2103
2008;2104
2009;2104
2010;2102
2011;2101
2012;2102
2013;2100
2014;2098
2015;2099
2016;2098
